고유번호,시군구명,기관명,관리기관명,소재지,홈페이지,연락처,팩스번호
2066896,의령군,의령경찰서,,의령군 의령읍 충익로 53,www.gnpolice.go.kr/ur,1566-0112,-
2066895,함안군,함안경찰서,,함안군 가야읍 말산리 596,www.gnpolice.go.kr/ha,1566-0112,-
2066894,산청군,산청경찰서,,산청군 산청읍 중앙로 1,www.gnpolice.go.kr/sc,1566-0112,-
2066893,함양군,함양경찰서,,함양군 함양읍 고운로 79,www.gnpolice.go.kr/hy,1566-0112,-
2066892,남해군,남해경찰서,,남해군 남해읍 화전로 89,www.gnpolice.go.kr/nh,1566-0112,-
2066891,하동군,하동경찰서,,하동군 하동읍 경서대로 139,www.gnpolice.go.kr/hd,1566-0112,-
2066890,고성군,고성경찰서,,고성군 고성읍 중앙로 113,www.gnpolice.go.kr/gs,1566-0112,-
2066889,창녕군,창녕경찰서,,창녕군 창녕읍 종로 38-6,www.gnpolice.go.kr/cn,1566-0112,-
2066888,합천군,합천경찰서,,합천군 합천읍 중앙로 63,www.gnpolice.go.kr/hc,1566-0112,-
2066887,거창군,거창경찰서,,거창군 거창읍 중앙로 97,www.gnpolice.go.kr/gc,1566-0112,-
2066886,밀양시,밀양경찰서,,밀양시 상남면 밀양대로 1545,www.gnpolice.go.kr/my,1566-0112,-
2066885,거제시,거제경찰서,,거제시 진목 1길 2 (옥포동),www.gnpolice.go.kr/gj,1566-0112,-
2066884,사천시,사천경찰서,,사천시 남일로 37(동금동),www.gnpolice.go.kr/sacheon,1566-0112,-
2066883,통영시,통영경찰서,,통영시 광도면 죽림3로 53,www.gnpolice.go.kr/ty,1566-0112,-
2066882,창원시,진해경찰서,,창원시 진해구 진해대로 815,www.gnpolice.go.kr/jh,1566-0112,-
2066881,양산시,양산경찰서,,양산시 북안남2길 36 (북부동),www.gnpolice.go.kr/ys,1566-0112,-
2066880,김해시,김해서부경찰서,,김해시 장유면 계동로 175,www.gnpolice.go.kr/ghsb,1566-0112,-
2066879,김해시,김해중부경찰서,,김해시 김해대로 2307 (봉황동),www.gnpolice.go.kr/ghjb,1566-0112,-
2066878,진주시,진주경찰서,,진주시 비봉로 24번길 3 (중안동),www.gnpolice.go.kr/jj,1566-0112,-
2066877,창원시,마산동부경찰서,,창원시 마산회원구 합성남17길 56,www.gnpolice.go.kr/msdb,1566-0112,-
2066876,창원시,마산중부경찰서,,창원시 마산합포구 3.15대로 147,www.gnpolice.go.kr/msjb,1566-0112,-
2066875,창원시,창원서부경찰서,,창원시 의창구 우곡로 10,www.gnpolice.go.kr/cwsb,1566-0112,-
2066874,창원시,창원중부경찰서,,창원시 의창구 상남로 177,www.gnpolice.go.kr/cwjb,1566-0112,-
2066873,창원시,경남지방경찰청,,창원시 의창구 상남로 289,www.gnpolice.go.kr,1566-0112,-
