행정구역,2024년06월_계_총인구수,2024년06월_계_연령구간인구수,2024년06월_계_60~69세,2024년06월_계_70~79세,2024년06월_계_80~89세,2024년06월_계_90~99세,2024년06월_계_100세 이상
경상남도  (4800000000),"3,236,224","978,165","535,975","276,161","143,027","22,567",435
경상남도 경상남도 창원시 (4812000000),"1,003,731","276,574","163,741","76,449","31,816","4,500",68
경상남도 경상남도 창원시 의창구 (4812100000),"211,060","57,113","35,521","14,760","5,964",855,13
경상남도 경상남도 창원시 성산구 (4812300000),"244,434","53,133","37,201","11,220","4,006",696,10
경상남도 경상남도 창원시 마산합포구 (4812500000),"179,162","61,247","32,286","19,108","8,571","1,262",20
경상남도 경상남도 창원시 마산회원구 (4812700000),"179,428","57,399","32,175","17,514","6,914",783,13
경상남도 경상남도 창원시 진해구 (4812900000),"189,647","47,682","26,558","13,847","6,361",904,12
경상남도 경상남도 진주시 (4817000000),"339,744","96,776","51,800","28,227","14,451","2,254",44
경상남도 경상남도 통영시 (4822000000),"119,349","41,425","22,465","12,520","5,655",772,13
경상남도 경상남도 사천시 (4824000000),"108,865","37,272","18,407","11,360","6,432","1,058",15
경상남도 경상남도 김해시 (4825000000),"532,132","119,824","72,971","30,828","14,089","1,900",36
경상남도 경상남도 밀양시 (4827000000),"101,253","45,759","22,889","13,868","7,827","1,159",16
경상남도 경상남도 거제시 (4831000000),"232,973","52,643","32,168","13,597","5,857",995,26
경상남도 경상남도 양산시 (4833000000),"356,268","90,708","52,331","25,318","11,524","1,498",37
경상남도 경상남도 의령군 (4872000000),"25,257","13,664","6,129","3,848","3,092",580,15
경상남도 경상남도 함안군 (4873000000),"59,408","24,473","12,216","7,060","4,409",781,7
경상남도 경상남도 창녕군 (4874000000),"56,487","27,807","13,364","8,194","5,344",891,14
경상남도 경상남도 고성군 (4882000000),"48,660","23,282","10,807","7,195","4,440",829,11
경상남도 경상남도 남해군 (4884000000),"40,303","21,606","9,009","6,668","4,819","1,084",26
경상남도 경상남도 하동군 (4885000000),"41,154","21,796","9,915","6,384","4,568",912,17
경상남도 경상남도 산청군 (4886000000),"33,514","18,315","8,309","5,369","3,908",710,19
경상남도 경상남도 함양군 (4887000000),"36,503","18,205","8,086","5,267","4,105",728,19
경상남도 경상남도 거창군 (4888000000),"59,867","24,876","11,443","7,200","5,234",974,25
경상남도 경상남도 합천군 (4889000000),"40,756","23,160","9,925","6,809","5,457",942,27
